PickUpSlotID,Start Time,End Time,Drop-Off Trailer,Pick-Up Trailer
1,06/07/2026 02:45,06/07/2026 04:15,,
2,06/07/2026 05:00,06/07/2026 06:30,type 1,
3,06/07/2026 07:15,06/07/2026 08:45,,
4,06/07/2026 09:30,06/07/2026 11:00,type 1,type 1
5,06/07/2026 11:45,06/07/2026 13:15,,
6,06/07/2026 14:00,06/07/2026 15:30,type 1,type 1
7,06/07/2026 16:15,06/07/2026 17:45,,
8,06/07/2026 18:30,06/07/2026 20:00,type 1,type 1
9,06/07/2026 20:45,06/07/2026 22:15,,
Maint.,06/07/2026 23:00,07/07/2026 00:30,,
10,07/07/2026 01:15,07/07/2026 02:45,type 1,type 1
Maint.,07/07/2026 03:30,07/07/2026 05:00,,
11,07/07/2026 05:45,07/07/2026 07:15,,
Maint.,07/07/2026 08:00,07/07/2026 09:30,,
12,07/07/2026 10:15,07/07/2026 11:45,type 1,type 1
Maint.,07/07/2026 12:30,07/07/2026 14:00,,
13,07/07/2026 14:45,07/07/2026 16:15,,
Maint.,07/07/2026 17:00,07/07/2026 18:30,,
14,07/07/2026 19:15,07/07/2026 20:45,type 1,type 1
Maint.,07/07/2026 21:30,07/07/2026 23:00,,
15,07/07/2026 23:45,08/07/2026 01:15,,
16,08/07/2026 02:00,08/07/2026 03:30,type 1,type 1
17,08/07/2026 04:15,08/07/2026 05:45,,
18,08/07/2026 06:30,08/07/2026 08:00,type 1,type 1
19,08/07/2026 08:45,08/07/2026 10:15,,
20,08/07/2026 11:00,08/07/2026 12:30,type 1,type 1
21,08/07/2026 13:15,08/07/2026 14:45,,
22,08/07/2026 15:30,08/07/2026 17:00,type 1,type 1
23,08/07/2026 17:45,08/07/2026 19:15,,
24,08/07/2026 20:00,08/07/2026 21:30,,type 1
Maint.,08/07/2026 22:15,08/07/2026 23:45,,
Maint.,09/07/2026 00:30,09/07/2026 02:00,,
Maint.,09/07/2026 02:45,09/07/2026 04:15,,
Maint.,09/07/2026 05:00,09/07/2026 06:30,,
Maint.,09/07/2026 07:15,09/07/2026 08:45,,
Maint.,09/07/2026 09:30,09/07/2026 11:00,,
Maint.,09/07/2026 11:45,09/07/2026 13:15,,
Maint.,09/07/2026 14:00,09/07/2026 15:30,,
Maint.,09/07/2026 16:15,09/07/2026 17:45,,
Maint.,09/07/2026 18:30,09/07/2026 20:00,,
Maint.,09/07/2026 20:45,09/07/2026 22:15,,
Maint.,09/07/2026 23:00,10/07/2026 00:30,,
25,10/07/2026 01:15,10/07/2026 02:45,,
26,10/07/2026 03:30,10/07/2026 05:00,type 1,
27,10/07/2026 05:45,10/07/2026 07:15,,
28,10/07/2026 08:00,10/07/2026 09:30,type 1,type 1
29,10/07/2026 10:15,10/07/2026 11:45,,
30,10/07/2026 12:30,10/07/2026 14:00,type 1,type 1
31,10/07/2026 14:45,10/07/2026 16:15,,
32,10/07/2026 17:00,10/07/2026 18:30,type 1,type 1
33,10/07/2026 19:15,10/07/2026 20:45,,
34,10/07/2026 21:30,10/07/2026 23:00,type 1,type 1
35,10/07/2026 23:45,11/07/2026 01:15,,
36,11/07/2026 02:00,11/07/2026 03:30,type 1,type 1
37,11/07/2026 04:15,11/07/2026 05:45,,
38,11/07/2026 06:30,11/07/2026 08:00,type 1,type 1
39,11/07/2026 08:45,11/07/2026 10:15,,
40,11/07/2026 11:00,11/07/2026 12:30,type 1,type 1
41,11/07/2026 13:15,11/07/2026 14:45,,
42,11/07/2026 15:30,11/07/2026 17:00,type 1,type 1
43,11/07/2026 17:45,11/07/2026 19:15,,
44,11/07/2026 20:00,11/07/2026 21:30,type 1,type 1
45,11/07/2026 22:15,11/07/2026 23:45,,
46,12/07/2026 00:30,12/07/2026 02:00,type 1,type 1
47,12/07/2026 02:45,12/07/2026 04:15,,
48,12/07/2026 05:00,12/07/2026 06:30,type 1,type 1
49,12/07/2026 07:15,12/07/2026 08:45,,
50,12/07/2026 09:30,12/07/2026 11:00,type 1,type 1
51,12/07/2026 11:45,12/07/2026 13:15,,
52,12/07/2026 14:00,12/07/2026 15:30,type 1,type 1
53,12/07/2026 16:15,12/07/2026 17:45,,
54,12/07/2026 18:30,12/07/2026 20:00,type 1,type 1
55,12/07/2026 20:45,12/07/2026 22:15,,
56,12/07/2026 23:00,13/07/2026 00:30,,type 1
