PickUpSlotID,Start Time,End Time,Drop-Off Trailer,Pick-Up Trailer
1,17/05/2027 02:45,17/05/2027 04:15,,
2,17/05/2027 05:00,17/05/2027 06:30,type 1,
3,17/05/2027 07:15,17/05/2027 08:45,,
4,17/05/2027 09:30,17/05/2027 11:00,type 1,type 1
5,17/05/2027 11:45,17/05/2027 13:15,,
6,17/05/2027 14:00,17/05/2027 15:30,type 1,type 1
7,17/05/2027 16:15,17/05/2027 17:45,,
8,17/05/2027 18:30,17/05/2027 20:00,type 1,type 1
9,17/05/2027 20:45,17/05/2027 22:15,,
Maint.,17/05/2027 23:00,18/05/2027 00:30,,
10,18/05/2027 01:15,18/05/2027 02:45,type 1,type 1
Maint.,18/05/2027 03:30,18/05/2027 05:00,,
11,18/05/2027 05:45,18/05/2027 07:15,,
Maint.,18/05/2027 08:00,18/05/2027 09:30,,
12,18/05/2027 10:15,18/05/2027 11:45,type 1,type 1
Maint.,18/05/2027 12:30,18/05/2027 14:00,,
13,18/05/2027 14:45,18/05/2027 16:15,,
Maint.,18/05/2027 17:00,18/05/2027 18:30,,
14,18/05/2027 19:15,18/05/2027 20:45,type 1,type 1
Maint.,18/05/2027 21:30,18/05/2027 23:00,,
15,18/05/2027 23:45,19/05/2027 01:15,,
16,19/05/2027 02:00,19/05/2027 03:30,type 1,type 1
17,19/05/2027 04:15,19/05/2027 05:45,,
18,19/05/2027 06:30,19/05/2027 08:00,type 1,type 1
19,19/05/2027 08:45,19/05/2027 10:15,,
20,19/05/2027 11:00,19/05/2027 12:30,type 1,type 1
21,19/05/2027 13:15,19/05/2027 14:45,,
22,19/05/2027 15:30,19/05/2027 17:00,type 1,type 1
23,19/05/2027 17:45,19/05/2027 19:15,,
24,19/05/2027 20:00,19/05/2027 21:30,type 1,type 1
Maint.,19/05/2027 22:15,19/05/2027 23:45,,
Maint.,20/05/2027 00:30,20/05/2027 02:00,,
Maint.,20/05/2027 02:45,20/05/2027 04:15,,
Maint.,20/05/2027 05:00,20/05/2027 06:30,,
Maint.,20/05/2027 07:15,20/05/2027 08:45,,
Maint.,20/05/2027 09:30,20/05/2027 11:00,,
Maint.,20/05/2027 11:45,20/05/2027 13:15,,
Maint.,20/05/2027 14:00,20/05/2027 15:30,,
Maint.,20/05/2027 16:15,20/05/2027 17:45,,
Maint.,20/05/2027 18:30,20/05/2027 20:00,,
Maint.,20/05/2027 20:45,20/05/2027 22:15,,
Maint.,20/05/2027 23:00,21/05/2027 00:30,,
25,21/05/2027 01:15,21/05/2027 02:45,,
26,21/05/2027 03:30,21/05/2027 05:00,type 1,type 1
27,21/05/2027 05:45,21/05/2027 07:15,,
28,21/05/2027 08:00,21/05/2027 09:30,type 1,type 1
29,21/05/2027 10:15,21/05/2027 11:45,,
30,21/05/2027 12:30,21/05/2027 14:00,type 1,type 1
31,21/05/2027 14:45,21/05/2027 16:15,,
32,21/05/2027 17:00,21/05/2027 18:30,type 1,type 1
33,21/05/2027 19:15,21/05/2027 20:45,,
34,21/05/2027 21:30,21/05/2027 23:00,type 1,type 1
35,21/05/2027 23:45,22/05/2027 01:15,,
36,22/05/2027 02:00,22/05/2027 03:30,type 1,type 1
37,22/05/2027 04:15,22/05/2027 05:45,,
38,22/05/2027 06:30,22/05/2027 08:00,type 1,type 1
39,22/05/2027 08:45,22/05/2027 10:15,,
40,22/05/2027 11:00,22/05/2027 12:30,type 1,type 1
41,22/05/2027 13:15,22/05/2027 14:45,,
42,22/05/2027 15:30,22/05/2027 17:00,type 1,type 1
43,22/05/2027 17:45,22/05/2027 19:15,,
44,22/05/2027 20:00,22/05/2027 21:30,type 1,type 1
45,22/05/2027 22:15,22/05/2027 23:45,,
46,23/05/2027 00:30,23/05/2027 02:00,type 1,type 1
47,23/05/2027 02:45,23/05/2027 04:15,,
48,23/05/2027 05:00,23/05/2027 06:30,type 1,type 1
49,23/05/2027 07:15,23/05/2027 08:45,,
50,23/05/2027 09:30,23/05/2027 11:00,type 1,type 1
51,23/05/2027 11:45,23/05/2027 13:15,,
52,23/05/2027 14:00,23/05/2027 15:30,type 1,type 1
53,23/05/2027 16:15,23/05/2027 17:45,,
54,23/05/2027 18:30,23/05/2027 20:00,type 1,type 1
55,23/05/2027 20:45,23/05/2027 22:15,,
56,23/05/2027 23:00,24/05/2027 00:30,type 1,type 1
