PickUpSlotID,Start Time,End Time,Drop-Off Trailer,Pick-Up Trailer
1,05/17/2027 02:45,05/17/2027 04:15,type 1,
2,05/17/2027 05:00,05/17/2027 06:30,,
3,05/17/2027 07:15,05/17/2027 08:45,type 1,type 1
4,05/17/2027 09:30,05/17/2027 11:00,,
5,05/17/2027 11:45,05/17/2027 13:15,type 1,type 1
6,05/17/2027 14:00,05/17/2027 15:30,,
7,05/17/2027 16:15,05/17/2027 17:45,type 1,type 1
8,05/17/2027 18:30,05/17/2027 20:00,,
9,05/17/2027 20:45,05/17/2027 22:15,type 1,type 1
Maint.,05/17/2027 23:00,05/18/2027 00:30,,
10,05/18/2027 01:15,05/18/2027 02:45,,
Maint.,05/18/2027 03:30,05/18/2027 05:00,,
11,05/18/2027 05:45,05/18/2027 07:15,type 1,type 1
Maint.,05/18/2027 08:00,05/18/2027 09:30,,
12,05/18/2027 10:15,05/18/2027 11:45,,
Maint.,05/18/2027 12:30,05/18/2027 14:00,,
13,05/18/2027 14:45,05/18/2027 16:15,type 1,type 1
Maint.,05/18/2027 17:00,05/18/2027 18:30,,
14,05/18/2027 19:15,05/18/2027 20:45,,
Maint.,05/18/2027 21:30,05/18/2027 23:00,,
15,05/18/2027 23:45,05/19/2027 01:15,type 1,type 1
16,05/19/2027 02:00,05/19/2027 03:30,,
17,05/19/2027 04:15,05/19/2027 05:45,type 1,type 1
18,05/19/2027 06:30,05/19/2027 08:00,,
19,05/19/2027 08:45,05/19/2027 10:15,type 1,type 1
20,05/19/2027 11:00,05/19/2027 12:30,,
21,05/19/2027 13:15,05/19/2027 14:45,type 1,type 1
22,05/19/2027 15:30,05/19/2027 17:00,,
23,05/19/2027 17:45,05/19/2027 19:15,,type 1
24,05/19/2027 20:00,05/19/2027 21:30,,
Maint.,05/19/2027 22:15,05/19/2027 23:45,,
Maint.,05/20/2027 00:30,05/20/2027 02:00,,
Maint.,05/20/2027 02:45,05/20/2027 04:15,,
Maint.,05/20/2027 05:00,05/20/2027 06:30,,
Maint.,05/20/2027 07:15,05/20/2027 08:45,,
Maint.,05/20/2027 09:30,05/20/2027 11:00,,
Maint.,05/20/2027 11:45,05/20/2027 13:15,,
Maint.,05/20/2027 14:00,05/20/2027 15:30,,
Maint.,05/20/2027 16:15,05/20/2027 17:45,,
Maint.,05/20/2027 18:30,05/20/2027 20:00,,
Maint.,05/20/2027 20:45,05/20/2027 22:15,,
Maint.,05/20/2027 23:00,05/21/2027 00:30,,
25,05/21/2027 01:15,05/21/2027 02:45,type 1,
26,05/21/2027 03:30,05/21/2027 05:00,,
27,05/21/2027 05:45,05/21/2027 07:15,type 1,type 1
28,05/21/2027 08:00,05/21/2027 09:30,,
29,05/21/2027 10:15,05/21/2027 11:45,type 1,type 1
30,05/21/2027 12:30,05/21/2027 14:00,,
31,05/21/2027 14:45,05/21/2027 16:15,type 1,type 1
32,05/21/2027 17:00,05/21/2027 18:30,,
33,05/21/2027 19:15,05/21/2027 20:45,type 1,type 1
34,05/21/2027 21:30,05/21/2027 23:00,,
35,05/21/2027 23:45,05/22/2027 01:15,type 1,type 1
36,05/22/2027 02:00,05/22/2027 03:30,,
37,05/22/2027 04:15,05/22/2027 05:45,type 1,type 1
38,05/22/2027 06:30,05/22/2027 08:00,,
39,05/22/2027 08:45,05/22/2027 10:15,type 1,type 1
40,05/22/2027 11:00,05/22/2027 12:30,,
41,05/22/2027 13:15,05/22/2027 14:45,type 1,type 1
42,05/22/2027 15:30,05/22/2027 17:00,,
43,05/22/2027 17:45,05/22/2027 19:15,type 1,type 1
44,05/22/2027 20:00,05/22/2027 21:30,,
45,05/22/2027 22:15,05/22/2027 23:45,type 1,type 1
46,05/23/2027 00:30,05/23/2027 02:00,,
47,05/23/2027 02:45,05/23/2027 04:15,type 1,type 1
48,05/23/2027 05:00,05/23/2027 06:30,,
49,05/23/2027 07:15,05/23/2027 08:45,type 1,type 1
50,05/23/2027 09:30,05/23/2027 11:00,,
51,05/23/2027 11:45,05/23/2027 13:15,type 1,type 1
52,05/23/2027 14:00,05/23/2027 15:30,,
53,05/23/2027 16:15,05/23/2027 17:45,type 1,type 1
54,05/23/2027 18:30,05/23/2027 20:00,,
55,05/23/2027 20:45,05/23/2027 22:15,type 1,type 1
56,05/23/2027 23:00,05/24/2027 00:30,,
