PickUpSlotID,Start Time,End Time,Drop-Off Trailer,Pick-Up Trailer
1,24/05/2027 02:45,24/05/2027 04:15,type 1,
2,24/05/2027 05:00,24/05/2027 06:30,,
3,24/05/2027 07:15,24/05/2027 08:45,type 1,type 1
4,24/05/2027 09:30,24/05/2027 11:00,,
5,24/05/2027 11:45,24/05/2027 13:15,type 1,type 1
6,24/05/2027 14:00,24/05/2027 15:30,,
7,24/05/2027 16:15,24/05/2027 17:45,type 1,type 1
8,24/05/2027 18:30,24/05/2027 20:00,,
9,24/05/2027 20:45,24/05/2027 22:15,type 1,type 1
Maint.,24/05/2027 23:00,25/05/2027 00:30,,
10,25/05/2027 01:15,25/05/2027 02:45,,
Maint.,25/05/2027 03:30,25/05/2027 05:00,,
11,25/05/2027 05:45,25/05/2027 07:15,type 1,type 1
Maint.,25/05/2027 08:00,25/05/2027 09:30,,
12,25/05/2027 10:15,25/05/2027 11:45,,
Maint.,25/05/2027 12:30,25/05/2027 14:00,,
13,25/05/2027 14:45,25/05/2027 16:15,type 1,type 1
Maint.,25/05/2027 17:00,25/05/2027 18:30,,
14,25/05/2027 19:15,25/05/2027 20:45,,
Maint.,25/05/2027 21:30,25/05/2027 23:00,,
15,25/05/2027 23:45,26/05/2027 01:15,type 1,type 1
16,26/05/2027 02:00,26/05/2027 03:30,,
17,26/05/2027 04:15,26/05/2027 05:45,type 1,type 1
18,26/05/2027 06:30,26/05/2027 08:00,,
19,26/05/2027 08:45,26/05/2027 10:15,type 1,type 1
20,26/05/2027 11:00,26/05/2027 12:30,,
21,26/05/2027 13:15,26/05/2027 14:45,type 1,type 1
22,26/05/2027 15:30,26/05/2027 17:00,,
23,26/05/2027 17:45,26/05/2027 19:15,,type 1
24,26/05/2027 20:00,26/05/2027 21:30,,
Maint.,26/05/2027 22:15,26/05/2027 23:45,,
Maint.,27/05/2027 00:30,27/05/2027 02:00,,
Maint.,27/05/2027 02:45,27/05/2027 04:15,,
Maint.,27/05/2027 05:00,27/05/2027 06:30,,
Maint.,27/05/2027 07:15,27/05/2027 08:45,,
Maint.,27/05/2027 09:30,27/05/2027 11:00,,
Maint.,27/05/2027 11:45,27/05/2027 13:15,,
Maint.,27/05/2027 14:00,27/05/2027 15:30,,
Maint.,27/05/2027 16:15,27/05/2027 17:45,,
Maint.,27/05/2027 18:30,27/05/2027 20:00,,
Maint.,27/05/2027 20:45,27/05/2027 22:15,,
Maint.,27/05/2027 23:00,28/05/2027 00:30,,
25,28/05/2027 01:15,28/05/2027 02:45,type 1,
26,28/05/2027 03:30,28/05/2027 05:00,,
27,28/05/2027 05:45,28/05/2027 07:15,type 1,type 1
28,28/05/2027 08:00,28/05/2027 09:30,,
29,28/05/2027 10:15,28/05/2027 11:45,type 1,type 1
30,28/05/2027 12:30,28/05/2027 14:00,,
31,28/05/2027 14:45,28/05/2027 16:15,type 1,type 1
32,28/05/2027 17:00,28/05/2027 18:30,,
33,28/05/2027 19:15,28/05/2027 20:45,type 1,type 1
34,28/05/2027 21:30,28/05/2027 23:00,,
35,28/05/2027 23:45,29/05/2027 01:15,type 1,type 1
36,29/05/2027 02:00,29/05/2027 03:30,,
37,29/05/2027 04:15,29/05/2027 05:45,type 1,type 1
38,29/05/2027 06:30,29/05/2027 08:00,,
39,29/05/2027 08:45,29/05/2027 10:15,type 1,type 1
40,29/05/2027 11:00,29/05/2027 12:30,,
41,29/05/2027 13:15,29/05/2027 14:45,type 1,type 1
42,29/05/2027 15:30,29/05/2027 17:00,,
43,29/05/2027 17:45,29/05/2027 19:15,type 1,type 1
44,29/05/2027 20:00,29/05/2027 21:30,,
45,29/05/2027 22:15,29/05/2027 23:45,type 1,type 1
46,30/05/2027 00:30,30/05/2027 02:00,,
47,30/05/2027 02:45,30/05/2027 04:15,type 1,type 1
48,30/05/2027 05:00,30/05/2027 06:30,,
49,30/05/2027 07:15,30/05/2027 08:45,type 1,type 1
50,30/05/2027 09:30,30/05/2027 11:00,,
51,30/05/2027 11:45,30/05/2027 13:15,type 1,type 1
52,30/05/2027 14:00,30/05/2027 15:30,,
53,30/05/2027 16:15,30/05/2027 17:45,type 1,type 1
54,30/05/2027 18:30,30/05/2027 20:00,,
55,30/05/2027 20:45,30/05/2027 22:15,type 1,type 1
56,30/05/2027 23:00,31/05/2027 00:30,,
