Type,Period,Number of trailers
Month,1,180
Month,2,180
Month,3,180
Month,4,180
Month,5,180
Month,6,180
Month,7,180
Month,8,180
Month,9,180
Month,10,180
Month,11,180
Month,12,180
Week,1,42
Week,2,42
Week,3,42
Week,4,42
Week,5,42
Week,6,42
Week,7,42
Week,8,42
Week,9,42
Week,10,42
Week,11,42
Week,12,42
Week,13,42
Week,14,42
Week,15,42
Week,16,42
Week,17,42
Week,18,42
Week,19,42
Week,20,42
Week,21,42
Week,22,42
Week,23,42
Week,24,42
Week,25,42
Week,26,42
Week,27,42
Week,28,42
Week,29,42
Week,30,42
Week,31,42
Week,32,42
Week,33,42
Week,34,42
Week,35,42
Week,36,42
Week,37,42
Week,38,42
Week,39,42
Week,40,42
Week,41,42
Week,42,42
Week,43,42
Week,44,42
Week,45,42
Week,46,42
Week,47,42
Week,48,42
Week,49,42
Week,50,42
Week,51,42
Week,52,42
