Type,Period,Number of trailers
Month,1,170
Month,2,170
Month,3,170
Month,4,170
Month,5,170
Month,6,170
Month,7,170
Month,8,170
Month,9,170
Month,10,170
Month,11,170
Month,12,170
Week,1,38
Week,2,38
Week,3,38
Week,4,38
Week,5,38
Week,6,38
Week,7,38
Week,8,38
Week,9,38
Week,10,38
Week,11,38
Week,12,38
Week,13,38
Week,14,38
Week,15,38
Week,16,38
Week,17,38
Week,18,38
Week,19,38
Week,20,38
Week,21,38
Week,22,38
Week,23,38
Week,24,38
Week,25,38
Week,26,38
Week,27,38
Week,28,38
Week,29,38
Week,30,38
Week,31,38
Week,32,38
Week,33,38
Week,34,38
Week,35,38
Week,36,38
Week,37,38
Week,38,38
Week,39,38
Week,40,38
Week,41,38
Week,42,38
Week,43,38
Week,44,38
Week,45,38
Week,46,38
Week,47,38
Week,48,38
Week,49,38
Week,50,38
Week,51,38
Week,52,38
